Temperatura,TDS,Turbidez,PH,Clase,,Condición,Clase
23.87,78.99,4,6.8,0,,,
23.87,79.06,3.95,6.8,0,,,
23.87,79.05,3.7,6.8,0,,,
23.87,79.19,3.7,6.8,0,,,
23.87,79.18,3.95,6.8,0,,,
23.87,79.5,3.9,6.81,0,,,
23.87,79.45,3.7,6.81,0,,,
23.87,79.43,3.85,6.81,0,,,
23.87,79.43,3.8,6.81,0,,,
23.81,79.44,3.75,6.81,0,,,
23.87,79.43,3.95,6.81,0,,,
23.81,79.32,3.7,6.81,0,,,
23.87,79.32,3.95,6.81,0,,,
23.87,79.66,3.85,6.81,0,,,
23.87,79.77,3.55,6.81,0,,,
23.87,78.55,3.2,6.81,0,,,
23.87,78.55,3.7,6.81,0,,,
23.87,78.54,4,6.81,0,,,
23.87,78.5,4,6.81,0,,,
23.87,78.5,3.95,6.81,0,,,
23.87,78.46,4,6.82,0,,,
23.87,77.94,3.85,6.82,0,,,
23.81,77.47,3.8,6.82,0,,,
23.81,75.26,8.1,6.83,0,,,
23.81,75.41,3.8,6.82,0,,,
23.81,75.55,3.65,6.82,0,,,
23.87,75.55,3.95,6.82,0,,,
23.87,75.55,4,6.82,0,,,
23.87,75.29,3.85,6.82,0,,,
23.87,75.07,3.7,6.82,0,,,
23.81,75.07,4,6.82,0,,,
23.81,75.05,2.2,6.82,0,,,
23.87,75.03,0,6.82,0,,,
23.87,75.04,3.65,6.82,0,,,
23.87,75.22,3.9,6.82,0,,,
23.87,75.2,3.9,6.82,0,,,
23.87,75.71,3.8,6.82,0,,,
23.87,75.71,4,6.82,0,,,
23.87,75.33,2.7,6.82,0,,,
23.81,75.32,3.45,6.82,0,,,
23.87,75.33,2.7,6.82,0,,,
23.81,75.38,3.75,6.82,0,,,
23.87,75.47,3.55,6.82,0,,,
23.87,75.14,8.3,6.82,0,,,
23.87,75.36,3.7,6.82,0,,,
23.87,75.1,8.8,6.82,0,,,
23.87,75.1,3.7,6.82,0,,,
23.81,75.1,3.75,6.82,0,,,
23.87,75.22,3.55,6.82,0,,,
23.87,75.23,4,6.81,0,,,
23.87,75.26,3.75,6.82,0,,,
23.87,75.23,3.75,6.81,0,,,
23.87,75.72,3.55,6.81,0,,,
23.87,77.92,2.4,6.81,0,,,
23.87,77.83,3.1,6.81,0,,,
23.87,77.8,1.15,6.82,0,,,
23.87,77.81,3.95,6.82,0,,,
23.87,77.81,3.75,6.82,0,,,
23.87,77.85,4,6.82,0,,,
23.87,78.02,3.7,6.81,0,,,
23.87,78.34,3.7,6.81,0,,,
23.87,76.86,3.35,6.81,0,,,
23.87,76.93,4.35,6.81,0,,,
23.87,76.9,4,6.81,0,,,
23.87,76.77,3.95,6.81,0,,,
23.87,76.82,3.9,6.81,0,,,
23.87,76.31,3.55,6.81,0,,,
23.87,76.32,3.8,6.81,0,,,
23.87,76.7,3.7,6.81,0,,,
23.87,76.55,4,6.81,0,,,
23.87,76.53,4.7,6.81,0,,,
23.81,76.52,4,6.81,0,,,
23.81,76.5,3.85,6.81,0,,,
23.87,76.5,3.8,6.81,0,,,
23.87,76.12,3.85,6.81,0,,,
23.81,77.71,3.75,6.81,0,,,
23.87,77.42,3.2,6.82,0,,,
23.81,77.42,3.9,6.82,0,,,
23.81,77.3,4,6.82,0,,,
